City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,63.0,86,100,3.0,overcast clouds
1,Kaeo,NZ,-35.1,173.7833,56.75,82,92,3.83,overcast clouds
2,Silopi,TR,37.2497,42.4694,73.4,31,75,12.66,broken clouds
3,Busselton,AU,-33.65,115.3333,52.0,97,100,4.36,overcast clouds
4,Biltine,TD,14.5333,20.9167,90.07,23,99,5.32,overcast clouds
5,Sobolevo,RU,54.4299,31.8996,31.51,79,12,7.58,few clouds
6,Tucurui,BR,-3.7661,-49.6725,81.55,81,99,2.64,overcast clouds
7,Jamestown,US,42.097,-79.2353,46.0,75,90,14.97,overcast clouds
8,New Castle,US,41.0037,-80.347,57.2,66,90,14.97,overcast clouds
9,Chuguyevka,RU,44.1653,133.8633,29.17,48,0,3.83,clear sky
10,Qaanaaq,GL,77.484,-69.3632,31.48,74,27,4.07,scattered clouds
11,Moses Lake,US,47.1301,-119.2781,60.8,36,20,8.05,few clouds
12,Cape Town,ZA,-33.9258,18.4232,62.01,94,20,8.05,few clouds
13,Dikson,RU,73.5069,80.5464,16.52,91,100,11.3,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,77.86,74,100,8.1,light rain
15,Sakakah,SA,29.9697,40.2064,87.8,14,40,19.57,dust
16,Provost,CA,52.3501,-110.2683,51.8,22,100,3.44,overcast clouds
17,Gannan,CN,47.9147,123.5031,46.83,35,100,10.36,overcast clouds
18,Cleethorpes,GB,53.5605,-0.0323,44.6,65,90,16.11,overcast clouds
19,Faanui,PF,-16.4833,-151.75,80.94,64,4,2.91,clear sky
20,Bell Ville,AR,-32.6259,-62.6887,71.01,36,0,4.0,clear sky
21,Udachnyy,RU,66.4167,112.4,7.88,91,100,23.82,overcast clouds
22,Cap Malheureux,MU,-19.9842,57.6142,78.01,82,100,8.01,overcast clouds
23,Huarmey,PE,-10.0681,-78.1522,72.66,73,9,9.15,clear sky
24,Ushuaia,AR,-54.8,-68.3,55.4,54,40,10.36,scattered clouds
25,Bredasdorp,ZA,-34.5322,20.0403,53.6,94,100,2.28,overcast clouds
26,Butaritari,KI,3.0707,172.7902,82.36,76,19,12.17,few clouds
27,Urengoy,RU,65.9667,78.3667,21.85,93,100,8.16,overcast clouds
28,New Norfolk,AU,-42.7826,147.0587,55.99,79,96,4.0,overcast clouds
29,Belaya Gora,RU,68.5333,146.4167,17.38,85,100,11.23,overcast clouds
30,Richards Bay,ZA,-28.783,32.0377,66.4,88,15,3.31,few clouds
31,Avera,US,33.194,-82.5271,75.2,50,40,9.22,scattered clouds
32,Ribeira Grande,PT,38.5167,-28.7,62.6,77,20,11.5,few clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,90,12.66,light snow
34,Vaini,TO,-21.2,-175.2,75.2,100,75,5.75,light rain
35,Lazaro Cardenas,MX,17.9583,-102.2,84.6,51,100,10.16,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,39.0,93,90,8.95,overcast clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,8.05,clear sky
38,Mpanda,TZ,-6.3655,31.0409,65.32,95,95,1.21,light rain
39,Grand Gaube,MU,-20.0064,57.6608,78.01,82,100,8.01,overcast clouds
40,Port Hueneme,US,34.1478,-119.1951,66.2,59,90,11.5,overcast clouds
41,Tucupita,VE,9.0622,-62.051,85.14,56,100,5.03,overcast clouds
42,Kodiak,US,57.79,-152.4072,42.8,81,90,12.66,overcast clouds
43,Chuy,UY,-33.6971,-53.4616,62.31,83,98,12.64,overcast clouds
44,Vung Tau,VN,10.346,107.0843,82.81,78,100,9.1,overcast clouds
45,Atuona,PF,-9.8,-139.0333,79.92,72,50,15.3,scattered clouds
46,Barcelos,PT,41.5388,-8.6151,62.6,77,20,3.44,few clouds
47,Nabire,ID,-3.3667,135.4833,74.55,91,100,0.51,overcast clouds
48,Kapaa,US,22.0752,-159.319,80.6,61,40,16.11,scattered clouds
49,Tramandai,BR,-29.9847,-50.1336,69.73,71,47,13.73,scattered clouds
50,Maniitsoq,GL,65.4167,-52.9,39.69,80,100,2.39,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,36.27,83,4,4.05,clear sky
52,Aykhal,RU,66.0,111.5,5.92,94,100,25.41,overcast clouds
53,Valley,US,45.1277,-116.1262,39.99,70,90,10.36,overcast clouds
54,Albany,US,42.6001,-73.9662,57.2,67,90,8.05,overcast clouds
55,Punta Arenas,CL,-53.15,-70.9167,57.2,62,75,19.57,light rain
56,Tasiilaq,GL,65.6145,-37.6368,37.4,70,90,19.57,light rain
57,Lompoc,US,34.6391,-120.4579,57.2,72,100,13.8,overcast clouds
58,Larap,PH,14.299,122.6504,75.06,87,20,7.78,light rain
59,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,40,2.3,scattered clouds
60,Bentiu,SS,9.2333,29.8333,84.27,52,100,0.81,overcast clouds
61,Provideniya,RU,64.3833,-173.3,35.6,69,0,2.24,clear sky
62,Castro,BR,-24.7911,-50.0119,64.26,85,100,4.74,overcast clouds
63,Puerto Ayora,EC,-0.7393,-90.3518,84.2,65,20,17.27,few clouds
64,Mangrol,IN,21.1167,70.1167,81.16,82,4,11.95,clear sky
65,Dunedin,NZ,-45.8742,170.5036,43.14,66,84,8.93,broken clouds
66,Hofn,IS,64.2539,-15.2082,42.91,88,100,12.5,overcast clouds
67,Esperantinopolis,BR,-4.8667,-44.7083,79.81,91,70,2.1,broken clouds
68,Esperance,AU,-33.8667,121.9,60.8,63,0,18.41,clear sky
69,Lorengau,PG,-2.0226,147.2712,79.23,83,53,6.35,broken clouds
70,Hobart,AU,-42.8794,147.3294,57.2,62,90,12.66,overcast clouds
71,Ghanzi,BW,-21.5667,21.7833,65.62,28,0,3.18,clear sky
72,Marystown,CA,47.1666,-55.1483,46.04,61,8,13.85,clear sky
73,Mahebourg,MU,-20.4081,57.7,75.2,94,75,12.66,light rain
74,Northam,GB,51.0333,-4.2167,52.0,68,5,10.0,clear sky
75,Namibe,AO,-15.1961,12.1522,78.46,66,1,11.74,clear sky
76,Hay River,CA,60.8156,-115.7999,23.0,63,75,10.36,light snow
77,Port Alfred,ZA,-33.5906,26.891,70.36,65,100,13.11,overcast clouds
78,Kajaani,FI,64.2273,27.7285,35.6,93,90,6.91,overcast clouds
79,Necochea,AR,-38.5473,-58.7368,63.0,71,86,1.01,overcast clouds
80,Aasiaat,GL,68.7098,-52.8699,36.39,75,71,2.08,broken clouds
81,Karatau,KZ,43.1667,70.4667,52.9,41,8,3.85,clear sky
82,Ponta Do Sol,PT,32.6667,-17.1,60.01,86,51,5.99,broken clouds
83,Khatanga,RU,71.9667,102.5,4.59,88,78,14.72,broken clouds
84,Nkhotakota,MW,-12.9274,34.2961,71.33,82,7,3.69,clear sky
85,Longyearbyen,SJ,78.2186,15.6401,19.4,63,40,12.66,scattered clouds
86,Korcula,HR,42.9622,17.1369,53.6,58,0,2.3,clear sky
87,Dharchula,IN,29.85,80.5333,61.41,30,0,9.26,clear sky
88,Talavera De La Reina,ES,39.9635,-4.8308,52.0,92,94,5.17,overcast clouds
89,Krasnooktyabrskiy,RU,44.9328,38.3712,46.99,86,100,6.58,light rain
90,Agadir,MA,30.4202,-9.5982,66.2,72,40,9.22,scattered clouds
91,Mataura,NZ,-46.1927,168.8643,45.0,81,72,11.01,broken clouds
92,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,100,90,4.47,light rain
93,Avarua,CK,-21.2078,-159.775,80.6,83,40,9.22,light rain
94,Saskylakh,RU,71.9167,114.0833,16.18,95,100,14.07,light snow
95,Kosino,RU,58.4127,51.2782,35.76,85,79,12.77,broken clouds
96,East London,ZA,-33.0153,27.9116,68.4,75,100,11.23,overcast clouds
97,Hambantota,LK,6.1241,81.1185,79.59,81,5,6.06,clear sky
98,Ruston,US,32.5232,-92.6379,75.2,31,1,4.61,clear sky
99,Lindenhurst,US,40.6868,-73.3735,57.99,62,90,11.5,overcast clouds
100,Teguldet,RU,57.3064,88.1667,35.06,99,100,3.38,overcast clouds
101,Vao,NC,-22.6667,167.4833,73.33,76,52,12.41,broken clouds
102,Isiro,CD,2.7739,27.616,66.87,99,100,1.99,overcast clouds
103,Barrow,US,71.2906,-156.7887,15.8,92,1,18.41,clear sky
104,Kostivere,EE,59.427,25.0962,37.4,87,75,6.91,broken clouds
105,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,69,0,13.8,clear sky
106,Deputatskiy,RU,69.3,139.9,18.28,93,100,4.83,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,19.27,94,100,14.25,light snow
108,College,US,64.8569,-147.8028,55.4,35,1,0.85,clear sky
109,Mocoa,CO,1.1493,-76.6466,81.27,83,73,2.73,heavy intensity rain
110,Dingle,PH,10.9995,122.6711,75.74,85,38,3.33,light rain
111,Atar,MR,20.5169,-13.0499,86.05,14,0,8.93,clear sky
112,Pitimbu,BR,-7.4706,-34.8086,80.6,78,0,12.66,clear sky
113,Mar Del Plata,AR,-38.0023,-57.5575,64.4,68,40,13.8,scattered clouds
114,Itaituba,BR,-4.2761,-55.9836,93.2,59,40,11.5,scattered clouds
115,Shitanjing,CN,39.2342,106.3439,43.57,53,18,14.63,few clouds
116,Nishihara,JP,26.1842,127.7558,66.2,88,20,4.61,few clouds
117,Dubovskoye,RU,47.4092,42.7575,46.02,49,100,6.4,overcast clouds
118,Shelburne,CA,44.0787,-80.2041,42.01,80,88,19.19,overcast clouds
119,San Quintin,MX,30.4833,-115.95,64.24,64,24,17.49,few clouds
120,Bubaque,GW,11.2833,-15.8333,78.37,69,44,20.87,scattered clouds
121,Virden,US,39.5009,-89.7679,66.99,56,12,3.0,few clouds
122,Padang,ID,-0.9492,100.3543,77.59,85,92,3.36,overcast clouds
123,Anda,CN,46.4,125.3167,45.07,34,100,8.01,overcast clouds
124,Korla,CN,41.7597,86.1469,49.75,26,7,8.01,clear sky
125,Cherskiy,RU,68.75,161.3,7.2,93,96,4.54,overcast clouds
126,Bluff,NZ,-46.6,168.3333,45.0,81,71,11.01,broken clouds
127,Plover,US,44.4564,-89.544,51.01,31,1,2.84,clear sky
128,Georgetown,MY,5.4112,100.3354,81.0,89,20,3.44,few clouds
129,Mwingi,KE,-0.9344,38.0601,70.99,73,97,4.23,overcast clouds
130,Sri Aman,MY,1.2376,111.4621,73.4,100,93,0.6,overcast clouds
131,Yellowknife,CA,62.456,-114.3525,10.99,61,90,9.22,light snow
132,Pionerskiy,RU,54.9508,20.2275,36.0,80,40,6.71,scattered clouds
133,Saldanha,ZA,-33.0117,17.9442,60.8,88,100,6.91,overcast clouds
134,Canto Do Buriti,BR,-8.11,-42.9444,78.06,84,100,2.93,overcast clouds
135,The Valley,AI,18.217,-63.0578,84.2,69,20,13.8,few clouds
136,Lasa,IT,46.6166,10.7002,59.0,53,0,4.61,clear sky
137,Imeni Poliny Osipenko,RU,52.4201,136.4853,26.29,51,26,4.59,scattered clouds
138,Lata,PT,40.1629,-8.3327,60.01,88,98,3.47,overcast clouds
139,Buin,CL,-33.7333,-70.75,77.0,27,0,5.75,clear sky
140,Novyy Urengoy,RU,66.0833,76.6333,28.04,95,100,8.52,overcast clouds
141,Souillac,MU,-20.5167,57.5167,75.2,94,75,12.66,light rain
142,Westport,US,41.1415,-73.3579,57.2,62,90,10.36,overcast clouds
143,Arawa,PG,-6.2132,155.5367,76.5,81,77,1.68,broken clouds
144,Calbuco,CL,-41.768,-73.1273,55.4,88,75,5.75,broken clouds
145,Constitucion,CL,-35.3333,-72.4167,64.71,62,4,15.12,clear sky
146,Fortuna,US,40.5982,-124.1573,55.0,82,75,5.75,broken clouds
147,Kharhial,IN,20.2833,82.7667,86.81,19,0,4.32,clear sky
148,Tommot,RU,58.9564,126.2925,32.88,96,100,3.94,overcast clouds
149,Geraldton,AU,-28.7667,114.6,64.4,55,0,10.36,clear sky
150,Torbay,CA,47.6666,-52.7314,53.6,35,20,23.02,few clouds
151,Savannah Bight,HN,16.45,-85.85,87.8,70,20,3.44,few clouds
152,Vanimo,PG,-2.6741,141.3028,75.33,84,100,3.02,overcast clouds
153,Aripuana,BR,-9.1667,-60.6333,82.72,79,93,0.51,overcast clouds
154,Balkanabat,TM,39.5108,54.3671,77.52,31,0,1.25,clear sky
155,Cayenne,GF,4.9333,-52.3333,84.2,74,90,11.5,overcast clouds
156,Kruisfontein,ZA,-34.0033,24.7314,72.75,38,100,5.53,overcast clouds
157,Port Hedland,AU,-20.3167,118.5667,66.2,82,0,8.05,clear sky
158,Hervey Bay,AU,-25.2986,152.8535,60.01,89,3,4.0,clear sky
159,Ilulissat,GL,69.2167,-51.1,50.0,43,95,11.5,overcast clouds
160,Pokrovsk,UA,48.282,37.1758,44.26,42,100,4.85,overcast clouds
161,Andenes,NO,69.3143,16.1194,35.6,75,75,6.91,light rain
162,Kahului,US,20.8947,-156.47,80.6,57,40,20.71,scattered clouds
163,Toguchin,RU,55.2353,84.3858,38.79,73,100,5.39,overcast clouds
164,Kasongo-Lunda,CD,-6.4667,16.8167,74.48,86,74,1.79,light rain
165,Thompson,CA,55.7435,-97.8558,37.4,38,75,11.5,broken clouds
166,Surat Thani,TH,9.1667,99.25,79.0,85,100,4.52,overcast clouds
167,Lianzhou,CN,24.7811,112.3825,62.26,92,100,3.51,overcast clouds
168,Naze,JP,28.3667,129.4833,64.15,71,34,10.85,scattered clouds
169,Afsin,TR,38.2477,36.914,63.77,50,100,3.74,overcast clouds
170,Severo-Kurilsk,RU,50.6789,156.125,31.8,97,100,11.05,snow
171,Iberia,US,29.9502,-91.7507,77.0,47,1,4.12,clear sky
172,Cabo San Lucas,MX,22.8909,-109.9124,84.99,32,75,9.22,broken clouds
173,Ogaminana,NG,7.5946,6.2248,79.39,77,99,4.0,light rain
174,Bakreswar,IN,23.8833,87.3667,81.0,32,1,2.57,clear sky
175,Sitka,US,57.0531,-135.33,55.4,54,20,4.61,few clouds
176,Vigrestad,NO,58.5667,5.7,41.0,77,8,19.22,clear sky
177,Murray Bridge,AU,-35.1167,139.2667,54.0,93,0,0.43,clear sky
178,Zhigansk,RU,66.7697,123.3711,32.5,99,100,8.39,light snow
179,Charleville-Mezieres,FR,49.7667,4.7167,45.0,61,40,11.5,scattered clouds
180,Hilo,US,19.7297,-155.09,80.6,57,75,3.44,light rain
181,Olafsvik,IS,64.8945,-23.7142,43.77,84,12,8.7,few clouds
182,Surt,LY,31.2089,16.5887,62.82,83,0,7.0,clear sky
183,Beloha,MG,-25.1667,45.05,72.88,79,0,6.71,clear sky
184,Knysna,ZA,-34.0363,23.0471,60.8,94,0,3.44,clear sky
185,Campos Altos,BR,-19.6961,-46.1714,74.34,44,26,1.57,scattered clouds
186,Bethel,US,41.3712,-73.414,59.0,58,75,6.91,broken clouds
187,Police,PL,53.5521,14.5718,39.0,58,1,6.89,clear sky
188,Broken Hill,AU,-31.95,141.4333,50.0,71,0,6.6,clear sky
189,Polis,CY,35.0367,32.4264,62.6,67,0,3.44,clear sky
190,Portland,US,45.5234,-122.6762,57.99,51,90,5.75,overcast clouds
191,Birin,NP,26.8865,88.0718,62.91,32,26,7.27,scattered clouds
192,Berlevag,NO,70.8578,29.0864,32.0,69,75,9.22,broken clouds
193,Rocha,UY,-34.4833,-54.3333,63.54,73,81,14.03,broken clouds
194,Houma,US,29.5958,-90.7195,79.0,50,1,5.75,clear sky
195,Cabinda,AO,-5.55,12.2,79.3,84,18,5.48,few clouds
196,Rolla,US,37.9514,-91.7713,72.0,45,1,3.44,clear sky
197,Bintulu,MY,3.1667,113.0333,77.0,100,20,3.44,few clouds
198,Lashio,MM,22.9333,97.75,74.39,44,56,1.68,broken clouds
199,Bridgewater,CA,44.3835,-64.5155,51.01,100,100,9.22,light rain
200,Kindu,CD,-2.95,25.95,69.21,94,82,2.82,broken clouds
201,Kavaratti,IN,10.5669,72.642,84.06,72,1,8.37,clear sky
202,Ekpoma,NG,6.7421,6.139,76.55,77,91,4.07,overcast clouds
203,Guiberoua,CI,6.2392,-6.1727,75.4,88,100,2.17,overcast clouds
204,Asadabad,IR,34.7824,48.1185,62.08,34,32,2.89,scattered clouds
205,San,ML,13.3034,-4.8956,98.56,15,56,5.21,broken clouds
206,Galbshtadt,RU,53.2264,78.9845,44.24,48,100,9.37,overcast clouds
207,Yar-Sale,RU,66.8333,70.8333,33.06,92,100,11.97,overcast clouds
208,Cidreira,BR,-30.1811,-50.2056,70.0,69,83,14.12,broken clouds
209,Fujin,CN,47.26,132.0322,36.57,40,11,5.88,few clouds
210,Waddan,LY,29.1614,16.139,68.2,44,1,10.0,clear sky
211,Cedar City,US,37.6775,-113.0619,66.2,15,1,39.12,clear sky
212,Siavonga,ZM,-16.5382,28.7088,75.83,60,27,2.68,scattered clouds
213,Concarneau,FR,47.875,-3.9225,53.6,66,0,16.11,clear sky
214,Notodden,NO,59.5594,9.2585,39.99,47,15,1.99,few clouds
215,Urumqi,CN,43.801,87.6005,41.0,33,0,6.71,clear sky
216,Hualmay,PE,-11.0964,-77.6139,71.37,75,15,7.92,few clouds
217,Lebu,CL,-37.6167,-73.65,59.59,77,0,12.62,clear sky
218,Sao Filipe,CV,14.8961,-24.4956,72.59,71,62,10.58,broken clouds
219,Port Macquarie,AU,-31.4333,152.9167,55.0,96,9,4.0,clear sky
220,Salalah,OM,17.0151,54.0924,84.2,70,75,8.05,broken clouds
221,Nouadhibou,MR,20.931,-17.0347,66.2,82,0,16.11,clear sky
222,Mareeba,AU,-17.0,145.4333,75.2,94,75,10.36,drizzle
223,Poum,NC,-20.2333,164.0167,76.82,78,98,18.3,overcast clouds
224,Dali,CN,25.7,100.1833,56.19,48,0,4.97,clear sky
225,Panji,ID,-7.7253,114.0995,73.94,81,76,4.38,broken clouds
226,Hithadhoo,MV,-0.6,73.0833,82.56,68,99,4.52,overcast clouds
227,Nantucket,US,41.2835,-70.0995,48.2,93,90,25.32,heavy intensity rain
228,Norman Wells,CA,65.282,-126.8329,37.4,38,20,14.97,few clouds
229,Whitehorse,CA,60.7161,-135.0538,50.0,27,1,4.61,clear sky
230,Victoria,HK,22.2855,114.1577,73.0,86,100,19.82,overcast clouds
